"HarbourCode","ind_coastal_sensitivity_index_Value","ind_coastal_sensitivity_index_Score","ind_harbour_condition_Value","ind_harbour_condition_Score","ind_degree_of_protection_Value","ind_degree_of_protection_Score","sensitivity","ind_sea_level_change_Value","ind_sea_level_change_Score","ind_ice_day_change_Value","ind_ice_day_change_Score","exposure","ind_replacement_cost_Value","ind_replacement_cost_Score","ind_harbour_utilization_Value","ind_harbour_utilization_Score","ind_sch_proximity_Value","ind_sch_proximity_Score","adaptive_capacity","CIVI","HarbourName","Province","HarbourType","Lat","Long","SCH_region","MarineInland","CSDUID","CSDName","ind_population","ind_fishery_reliant_communities","ind_indigenous_community","ind_sch_proximity_Nearest_Neighbour","ind_sch_proximity_Sailing_Time","ind_sch_proximity_Sailing_Distance","ind_sch_proximity_Driving_Distance","ind_sch_proximity_Driving_Time","sensitivity_cat","exposure_cat","adaptive_capacity_cat","CIVI_cat"
287,-162.359904665734,2,3.8,4,2,3,2.28942848510666,55.5684928894043,2,-39.4528503417969,4,2.82842712474619,5057381.67,2,0.490377725458082,2,0.42,4,4,2.34837450619932,"LEADING TICKLES WEST","NL",NA,49.5038,-55.4552,"Newfoundland & Labrador","Marine",1008046,"Division No.  8, Subd. E",554,"20-30",0,206,0.42,7.62,11.3302,0.194527777777778,1,2,3,2
6144,90.745305710751,3,3.4,4,2,3,2.6207413942089,50.2069892883301,1,-10.6361083984375,1,1,21690457,3,1.70458230958231,2,0.17,5,3.91486764116886,1.76137812657394,"PRINCE RUPERT (RUSHBROOK)","BC",NA,54.325062,-130.305185,"Pacific","Marine",5947012,"Prince Rupert",12915,"gt 0-10",0,6139,0.17,3.06,1.4722,0.0726111111111111,2,1,3,1
3764,-263,2,3.8,4,NA,NA,NA,44.7973175048828,1,-41.0462239583333,4,2,4132500,2,NA,NA,1.18,2,NA,NA,"RIVIÈRE MADELEINE (CAP À L'OURS)","QC",NA,49.24056,-65.2936,"Quebec","Marine",2404005,"Sainte-Madeleine-de-la-Rivière-Madeleine",275,"X",0,3731,1.18,21.17,24.8363,0.436083333333333,NA,1,NA,NA
526,-7.81574068703996,3,3.3,4,2,3,2.6207413942089,65.2605590820312,3,-35.6619046529134,3,3,1458325.41,2,0.662836538461538,2,0.21,4,4,2.50529269983754,"TRINITY EAST","NL",NA,48.378524,-53.344938,"Newfoundland & Labrador","Marine",1007014,"Division No.  7, Subd. J",486,"10-20",0,106,0.21,3.79,5.6629,0.113888888888889,2,2,3,2
4749,NA,NA,2.6,3,NA,NA,NA,NA,NA,-27.3426640828451,2,2,3915384.1,2,NA,NA,NA,1,NA,NA,"PELEE ISLAND (SCUDDER WHARF RECREATIONAL AREA)","ON",NA,41.81259,-82.6589,"Central & Arctic","Inland",3537001,"Pelee",263,"0",0,4555,1.42,25.51,274.4989,5.58355555555555,NA,1,NA,NA
169,84.9855561389196,3,3.7,4,2,3,2.6207413942089,68.6796112060547,3,-28.5734958648682,2,2.44948974278318,13892136.89,3,0.770653433312201,2,0.19,4,3.63424118566428,2.47641496696671,"FERMEUSE","NL",NA,46.9756,-52.9534,"Newfoundland & Labrador","Marine",1001124,"Division No.  1, Subd. U",1505,"10-20",0,405,0.19,3.49,3.645,0.0771944444444444,2,2,2,2
139,-333.223163813067,2,3.6,4,2,3,2.28942848510666,40.932071685791,1,-42.0556233723958,4,2,7938100.9,3,NA,NA,0.51,3,NA,NA,"DANIEL'S HARBOUR","NL",NA,50.24095,-57.5899,"Newfoundland & Labrador","Marine",1009041,"Division No.  9, Subd. H",153,"30-50",0,727,0.51,9.25,10.6306,0.210333333333333,1,1,NA,NA
150,26.4096649495719,3,4.7,5,1,2,2.28942848510666,65.0248260498047,3,-32.2198581695557,3,3,7083816.29,3,0.209643605870021,1,0.23,4,3.91486764116886,2.42843968615289,"SOUTH DILDO","NL",NA,47.5326,-53.5509,"Newfoundland & Labrador","Marine",1001293,"Division No.  1, Subd. Y",1312,"gt 0-10",0,149,0.23,4.16,5.0999,0.117666666666667,1,2,3,2
60,-396.892670086604,2,4.6,5,1,2,2,30.5727100372314,1,-44.2481282552083,5,2.23606797749979,1136431.31,2,2.54602785320137,3,0.15,5,3.91486764116886,2.10482604301628,"BRIG BAY","NL",NA,51.0642,-56.9095,"Newfoundland & Labrador","Marine",1009021,"Division No.  9, Subd. C",2169,"10-20",0,43,0.15,2.67,2.5245,0.08375,1,2,3,2
6019,-1146.44438068438,1,3.9,4,1,2,2,42.331859588623,1,-4.24163564046224,1,1,671194,2,1.6875,2,0.54725,3,3.63424118566428,1.67880461409727,"BURGOYNE BAY","BC",NA,48.792816,-123.521491,"Pacific","Marine",5917027,"Saltspring Island",12448,"gt 0-10",0,6106,0.38,6.91,19.2443,0.54725,1,1,2,1
